,year_to_date_return,years_up,years_down,fund_symbol,fund_return_2021_q2,fund_return_2021_q1,fund_return_2020_q4,fund_return_2020_q3,fund_return_2020_q2,category_return_2020,fund_return_2020
485,0.0374,2.0,2.0,AFFCX,0.02411,0.00595,0.04531,0.04637,0.08233,0.04842,-0.02496
486,0.0377,9.0,7.0,AFFIX,0.02472,0.00472,0.04546,0.04657,0.0819,0.04842,-0.02464
493,0.1487,15.0,4.0,AFICX,0.07072,0.06119,0.13759,0.06738,0.19004,0.15827,0.1408
494,0.1533,15.0,4.0,AFIFX,0.07251,0.06305,0.13965,0.06937,0.19202,0.15827,0.14887
498,0.0198,7.0,0.0,AFLEX,0.01517,0.00051,0.02389,0.00848,0.02448,0.03443,0.00314
499,0.0202,7.0,0.0,AFLIX,0.0158,0.00111,0.02454,0.00917,0.02511,0.03443,0.00576
500,0.0142,6.0,1.0,AFLKX,0.01318,-0.00238,0.02296,0.00551,0.02364,0.03443,-0.00334
501,0.1086,2.0,1.0,AFMBX,0.05487,0.03856,0.07692,0.04215,0.12006,0.11719,0.11186
503,0.1511,2.0,1.0,AFMFX,0.05212,0.07925,0.0833,0.04846,0.13056,0.02911,0.05071
504,0.0067,10.0,6.0,AFMMX,0.0026,0.00052,0.00919,0.01792,0.03963,0.03809,0.02112
505,0.142,6.0,2.0,AFNAX,0.04951,0.06357,0.10261,0.06298,0.14264,0.15827,0.06295
506,0.1433,6.0,2.0,AFNIX,0.0498,0.06455,0.10361,0.06371,0.14272,0.15827,0.06596
513,0.1852,5.0,5.0,AFPAX,0.03823,0.13635,0.13638,-0.01287,0.0509,0.02911,-0.06952
514,0.1905,5.0,5.0,AFPIX,0.0406,0.13884,0.14024,-0.0135,0.05405,0.02911,-0.06225
515,0.1802,5.0,5.0,AFPUX,0.03717,0.1336,0.13604,-0.01525,0.04984,0.02911,-0.07461
524,0.023,17.0,2.0,AFTFX,0.01721,-0.001,0.02034,0.01285,0.02107,0.04507,0.04638
525,0.1848,2.0,1.0,AFVLX,0.04831,0.11529,0.16002,0.09013,0.19812,0.02911,0.15339
527,0.1859,2.0,1.0,AFVZX,0.04866,0.11541,0.16193,0.09055,0.19832,0.02911,0.15696
528,0.1369,5.0,2.0,AFYCX,0.04729,0.06174,0.10044,0.06094,0.14084,0.15827,0.05522
553,0.041,22.0,4.0,AGDAX,0.03697,0.00041,0.08181,0.04753,0.11742,0.04905,0.02914
615,0.0988,1.0,0.0,AGVFX,0.05891,0.03088,0.12595,0.06699,0.17135,0.1296,0.15523
633,0.0506,16.0,3.0,AHICX,0.02876,0.01311,0.03397,0.02319,0.02895,0.0345,0.03648
636,0.0684,10.0,2.0,AHIFX,0.03887,0.02593,0.07189,0.0561,0.08648,0.04905,0.07294
646,0.0563,11.0,1.0,AHMFX,0.03116,0.01546,0.03641,0.02561,0.03132,0.0345,0.04623
650,0.0621,14.0,5.0,AHTCX,0.03624,0.02333,0.06917,0.05338,0.08375,0.04905,0.06202
651,0.0666,15.0,4.0,AHTFX,0.03811,0.02519,0.07111,0.05533,0.08571,0.04905,0.06984
679,0.1529,14.0,5.0,AICCX,0.06449,0.0677,0.11055,0.06491,0.18972,0.15827,0.13639
680,0.1575,14.0,5.0,AICFX,0.06632,0.06966,0.11267,0.06647,0.19173,0.15827,0.14436
710,0.0774,7.0,4.0,AIMOX,0.05773,0.00334,0.1233,0.07361,0.18182,0.25479,0.16579
749,0.0595,12.0,3.0,ALAAX,0.03176,0.0198,0.06541,0.0311,0.09323,0.08856,0.02332
753,0.061,10.0,2.0,ALAYX,0.03241,0.02044,0.06607,0.03174,0.09391,0.08856,0.0259
756,0.0265,29.0,5.0,ALCAX,0.01824,0.00066,0.02733,0.01877,0.03823,0.03667,0.04855
793,0.0231,21.0,6.0,ALNCX,0.01701,-0.00042,0.02406,0.01599,0.03068,0.04507,0.03888
796,0.0358,29.0,5.0,ALNYX,0.02385,0.00439,0.02925,0.01659,0.0234,0.03481,0.03302
809,0.0055,1.0,1.0,ALTTX,0.01279,0.00925,-0.01481,0.00038,0.0014,0.01632,-0.01994
818,0.11111,13.0,4.0,ALVRX,0.03934,0.07397,0.1318,0.06015,0.13302,0.02911,0.01908
819,0.1186,14.0,5.0,ALVSX,0.04115,0.07567,0.13283,0.06321,0.13512,0.02911,0.02616
820,0.1834,16.0,7.0,AMADX,0.0459,0.11169,0.11598,0.07157,0.17813,0.02911,0.11599
821,0.2786,20.0,6.0,AMAGX,0.09907,0.03611,0.12812,0.11238,0.22632,0.35862,0.32856
822,0.15945,26.0,8.0,AMANX,0.05132,0.05105,0.10398,0.06257,0.18469,0.15827,0.13946
823,0.00191,4.0,1.0,AMAPX,0.01002,-0.00608,0.01434,0.0207,0.0535,0.05086,0.0535
825,0.12415,11.0,1.0,AMBFX,0.05461,0.03832,0.07669,0.04191,0.11981,0.11719,0.11075
827,0.19746,11.0,1.0,AMCFX,0.081,0.04768,0.12298,0.06254,0.23199,0.35862,0.21697
834,0.17476,5.0,2.0,AMDVX,0.03288,0.12176,0.16816,0.04194,0.15531,0.02633,0.01968
837,0.1162,10.0,2.0,AMEFX,0.04746,0.06114,0.08786,0.05025,0.09777,0.13511,0.05153
840,0.144,15.0,4.0,AMFCX,0.04924,0.07637,0.0805,0.04585,0.12737,0.02911,0.03972
842,0.1488,15.0,4.0,AMFFX,0.05116,0.07819,0.08221,0.04774,0.12953,0.02911,0.04693
843,-0.0023,3.0,0.0,AMFIX,-0.00153,-0.00371,-0.00138,-0.00136,0.00021,0.08056,0.0224
863,0.1516,9.0,2.0,AMOMX,0.10318,0.02032,0.12162,0.11126,0.23986,0.35862,0.26772
866,0.1488,15.0,4.0,AMPCX,0.07812,0.04555,0.12018,0.05962,0.22946,0.35862,0.20512
867,0.1533,16.0,3.0,AMPFX,0.08028,0.04725,0.12203,0.06156,0.23168,0.35862,0.21343
872,0.1503,10.0,2.0,AMRFX,0.05184,0.07875,0.08302,0.04846,0.12993,0.02911,0.04981
888,-0.0026,21.0,6.0,ANACX,0.01026,-0.02466,0.0172,0.00826,0.04878,0.06175,0.04033
889,0.0029,24.0,4.0,ANAGX,0.01342,-0.02291,0.01801,0.01021,0.0522,0.06175,0.04715
895,-0.0062,4.0,0.0,ANBAX,0.02145,-0.03894,0.01638,0.01454,0.06341,0.08056,0.18092
896,-0.01,3.0,1.0,ANBCX,0.01974,-0.04019,0.0148,0.01221,0.06137,0.08056,0.17165
897,-0.0054,4.0,0.0,ANBEX,0.02148,-0.03901,0.01645,0.01382,0.06302,0.08056,0.18021
899,-0.004,4.0,0.0,ANBFX,0.02217,-0.0383,0.01704,0.01442,0.06414,0.08056,0.18307
