,year_to_date_return,years_up,years_down,fund_symbol,fund_return_2021_q2,fund_return_2021_q1,fund_return_2020_q4,fund_return_2020_q3,fund_return_2020_q2,category_return_2020,fund_return_2020
5388,0.1027,11.0,3.0,FBMCX,0.0354,0.05396,0.08376,0.01918,0.09614,0.11719,0.04598
5393,-0.0311,5.0,2.0,FBNRX,0.00334,-0.02735,0.00789,-0.0056,0.0013,0.03443,-0.04057
5396,0.1749,4.0,3.0,FBOGX,0.0475,0.1029,0.18815,0.10633,0.24,0.2489,0.1366
5401,0.0366,10.0,4.0,FBRLX,0.03343,-0.00152,0.06626,0.02337,0.06273,0.09035,0.08224
5405,0.2174,12.0,7.0,FBSAX,0.05812,0.15389,0.21855,0.05018,0.1601,0.02633,-0.022
5406,0.2181,4.0,3.0,FBSIX,0.0583,0.15445,0.21834,0.05068,0.16108,0.02633,-0.02091
5408,0.2138,12.0,6.0,FBSRX,0.05662,0.15258,0.21714,0.04868,0.15904,0.02633,-0.02685
5413,-0.1011,4.0,2.0,FBTDX,0.00712,-0.05649,0.1063,0.03509,0.2882,0.27625,0.28932
5426,0.0385,20.0,4.0,FCAHX,0.02827,0.00107,0.02927,0.01871,0.02858,0.04587,0.03941
5430,0.0412,22.0,5.0,FCAMX,0.02991,0.00157,0.03183,0.01935,0.03109,0.04587,0.04627
5433,0.1326,3.0,4.0,FCAPX,0.03335,0.0954,0.22149,0.05769,0.09265,0.10924,-0.10533
5434,0.0428,3.0,0.0,FCAQX,0.03015,0.00276,0.03115,0.01963,0.0314,0.04587,0.0467
5437,0.0241,17.0,2.0,FCAVX,0.02257,-0.00705,0.02324,0.01033,0.03204,0.04587,0.05258
5438,0.1329,13.0,4.0,FCAZX,0.08416,0.03549,0.14467,0.07939,0.20086,0.15414,0.18595
5444,0.2104,11.0,8.0,FCBSX,0.05541,0.15151,0.21501,0.04768,0.15762,0.02633,-0.0318
5450,0.0093,14.0,3.0,FCCIX,0.01146,-0.00827,0.0116,0.0078,0.02487,0.03667,0.0297
5452,0.0125,2.0,0.0,FCCQX,0.01252,-0.0065,0.01182,0.00884,0.02597,0.03667,0.03307
5453,0.0133,3.0,0.0,FCCRX,0.01237,-0.00579,0.01335,0.0087,0.02662,0.03667,0.03676
5454,0.0734,2.0,1.0,FCCTX,0.03906,0.02326,0.06983,0.03701,0.09729,0.10795,0.11028
5463,0.0314,1.0,0.0,FCEEX,0.03049,0.06019,0.12794,0.07604,0.14853,0.17903,0.10193
5464,0.1265,1.0,0.0,FCENX,0.07175,0.0397,0.13753,0.04806,0.14179,0.09303,0.0939
5466,0.0898,2.0,1.0,FCETX,0.04855,0.02915,0.09777,0.05364,0.13876,0.12985,0.15208
5467,0.2032,1.0,0.0,FCEUX,0.09504,0.07018,0.10669,0.06888,0.21834,0.15827,0.19143
5468,0.0417,7.0,1.0,FCFAX,0.02191,0.0144,0.04335,0.0364,0.08546,0.04842,0.06215
5469,0.0418,2.0,0.0,FCFBX,0.0209,0.01549,0.04233,0.0364,0.08675,0.04842,0.06117
5474,0.0442,7.0,1.0,FCFIX,0.02148,0.01603,0.04292,0.03808,0.08604,0.04842,0.06369
5476,0.0489,16.0,3.0,FCFRX,0.02959,0.01911,0.03116,0.02188,0.02814,0.01158,-0.04367
5479,0.1031,4.0,1.0,FCFWX,0.05,0.04294,0.08601,0.03833,0.10225,0.11719,0.07046
5480,0.1508,20.0,4.0,FCGAX,0.09477,0.01995,0.12944,0.11522,0.23937,0.35862,0.30964
5481,0.0243,6.0,3.0,FCGBX,0.01699,0.02477,0.11717,0.03562,0.05393,0.06177,0.00679
5487,0.1146,2.0,1.0,FCGTX,0.06363,0.03981,0.12994,0.06901,0.18513,0.14564,0.1878
5488,0.0367,18.0,7.0,FCHIX,0.02739,0.00562,0.06208,0.04129,0.09167,0.04905,0.06115
5491,0.1173,2.0,1.0,FCHTX,0.06518,0.04103,0.13269,0.0709,0.18828,0.15102,0.1917
5496,0.121,20.0,5.0,FCISX,0.03431,0.07608,0.11296,0.0275,0.0753,0.08856,0.02968
5497,0.01,14.0,3.0,FCITX,0.01125,-0.00728,0.01399,0.00681,0.02188,0.04507,0.03819
5501,0.1196,2.0,1.0,FCJTX,0.06661,0.04172,0.13468,0.07168,0.19176,0.15468,0.19446
5503,0.1199,2.0,1.0,FCKTX,0.06703,0.04124,0.13515,0.07127,0.19124,0.15518,0.19367
5518,-0.0406,8.0,5.0,FCNBX,0.00185,-0.03394,-0.00033,-0.00631,-0.0174,0.03443,-0.06321
5526,0.018,10.0,1.0,FCNZX,0.01368,-0.00331,0.01379,0.01115,0.01835,0.04297,0.04024
5528,0.0158,21.0,4.0,FCOIX,0.01685,-0.00815,0.01734,0.00915,0.0206,0.04297,0.04336
5530,0.0192,2.0,0.0,FCOQX,0.01808,-0.00641,0.01773,0.01029,0.02097,0.04297,0.04715
5537,0.0402,2.0,0.0,FCQAX,0.02857,0.00208,0.03139,0.01893,0.03068,0.04587,0.04466
5540,0.0007,13.0,4.0,FCSCX,-1e-05,0.00041,-0.00019,0.00086,0.02453,0.01341,0.00867
5542,0.1262,7.0,5.0,FCSMX,0.03147,0.09187,0.21776,0.05496,0.0893,0.10924,-0.11538
5547,0.0658,11.0,1.0,FCSZX,0.04526,0.01731,0.16969,0.08626,0.33087,0.39914,0.46598
5549,0.1796,2.0,0.0,FCTDX,0.08239,0.07576,0.15228,0.08579,0.23042,0.15827,0.22184
5553,0.014,22.0,3.0,FCTIX,0.0129,-0.00488,0.01203,0.00842,0.01756,0.04297,0.03326
5555,-0.001,14.0,4.0,FCTLX,0.02434,-0.03382,0.02214,0.0176,0.07155,0.08056,0.06705
5556,0.0183,3.0,0.0,FCTQX,0.01383,-0.00321,0.01387,0.01124,0.01946,0.04297,0.04165
5574,0.0528,16.0,3.0,FDAAX,0.03125,0.02075,0.03285,0.0222,0.0312,0.01158,-0.03737
5583,0.0713,2.0,1.0,FDBTX,0.03675,0.02402,0.06648,0.03556,0.09049,0.10747,0.09975
5590,0.0786,2.0,1.0,FDDTX,0.04312,0.02403,0.08192,0.04523,0.12035,0.11841,0.13729
5600,0.0008,4.0,3.0,FDEVX,0.02101,0.05668,0.19544,0.10596,0.19477,0.17903,0.1916
5611,0.1058,2.0,1.0,FDFTX,0.05838,0.03583,0.11867,0.0635,0.1713,0.14042,0.17613
5613,0.0604,4.0,1.0,FDFWX,0.03444,0.01605,0.0548,0.02466,0.07146,0.08856,0.08623
5645,0.1332,11.0,1.0,FDNRX,0.12848,-0.02283,0.15207,0.12335,0.34964,0.35862,0.57279
5658,0.137,7.0,0.0,FDTRX,0.13014,-0.0215,0.15378,0.12499,0.35165,0.35862,0.58223
5665,0.0398,2.0,1.0,FDWGX,0.05328,0.03368,0.17446,0.07593,0.1937,0.17903,0.11849
5666,0.1299,19.0,5.0,FDYNX,0.12701,-0.02402,0.15068,0.12191,0.34798,0.35862,0.56508
5667,0.1366,11.0,1.0,FDYZX,0.1299,-0.02161,0.15345,0.12476,0.35137,0.35862,0.58081
5707,0.1639,10.0,2.0,FEIFX,0.06216,0.07042,0.12043,0.06972,0.14235,0.02911,0.05888
5709,0.1643,5.0,2.0,FEIQX,0.06233,0.07057,0.12058,0.07048,0.14263,0.02911,0.06032
5719,0.0326,10.0,4.0,FEMDX,0.04566,-0.01673,0.09126,0.04623,0.07568,0.05086,0.03934
5721,-0.0175,3.0,4.0,FEMGX,0.02482,-0.03067,0.01654,-0.01319,0.01046,0.03433,-0.068
5722,-0.0198,3.0,4.0,FEMHX,0.02372,-0.03184,0.0153,-0.01433,0.0095,0.03433,-0.07218
5724,0.0077,19.0,11.0,FEMKX,0.05502,0.01861,0.17453,0.12714,0.2385,0.17903,0.32537
5726,-0.0158,3.0,4.0,FEMRX,0.02567,-0.02981,0.01574,-0.01088,0.01139,0.03433,-0.06469
5730,-0.0163,3.0,4.0,FEMZX,0.0253,-0.03003,0.0168,-0.01265,0.01106,0.03433,-0.06464
5761,0.0493,2.0,1.0,FEUPX,0.06967,-0.00433,0.19953,0.09671,0.22745,0.25479,0.25237
5772,0.077,13.0,4.0,FFAAX,0.0472,0.02209,0.15104,0.03614,0.10054,0.06177,0.01787
5773,0.0707,13.0,4.0,FFACX,0.04438,0.02015,0.14795,0.03403,0.09715,0.06177,0.00787
5775,0.0756,13.0,4.0,FFALX,0.04635,0.0215,0.15073,0.03553,0.09895,0.06177,0.01549
5778,0.0778,2.0,1.0,FFAQX,0.0472,0.02232,0.15175,0.0362,0.10075,0.06177,0.01939
5779,0.0741,13.0,4.0,FFARX,0.04579,0.02142,0.14965,0.03451,0.09899,0.06177,0.01279
5781,0.0172,21.0,6.0,FFBAX,0.02777,-0.01761,0.03442,0.02124,0.04939,0.08056,0.07508
5785,0.26,8.0,2.0,FFBFX,-0.04287,0.3274,0.45583,0.05641,0.2043,-0.01149,0.11923
5800,0.0186,21.0,6.0,FFBYX,0.02772,-0.01702,0.03509,0.02189,0.05008,0.08056,0.07781
5838,0.0434,8.0,1.0,FFGRX,0.03242,0.03319,0.26709,0.09139,0.32159,0.38623,0.38342
5842,0.1598,2.0,1.0,FFICX,0.06719,0.07046,0.11362,0.06753,0.19305,0.15827,0.14877
5856,0.0018,2.0,0.0,FFLQX,0.00373,-0.00433,0.00711,0.00435,0.01706,0.02277,0.02749
5874,0.0279,2.0,0.0,FFQAX,0.0236,-0.00424,0.02673,0.01037,0.0216,0.05363,0.05477
5879,0.1488,4.0,0.0,FFQZX,0.14874,-0.01402,0.11694,0.14403,0.32089,0.35862,0.56184
5882,0.0533,5.0,2.0,FFRDX,0.03277,0.02098,0.03295,0.02238,0.03143,0.01158,-0.03647
5889,0.0322,13.0,3.0,FFSAX,0.02634,-0.002,0.04298,0.02644,0.08308,0.04842,0.08005
5895,0.0023,17.0,0.0,FFTFX,0.00398,-0.00408,0.00736,0.0046,0.0173,0.02277,0.0285
5899,0.0296,3.0,0.0,FFTQX,0.02435,-0.00351,0.0274,0.01109,0.0223,0.05363,0.0577
5900,0.0034,3.0,0.0,FFTRX,0.00442,-0.00365,0.00781,0.00505,0.0178,0.02277,0.03036
5905,0.0219,4.0,0.0,FFTZX,0.01822,-0.00413,0.01691,0.0146,0.01213,0.04297,0.04204
5917,-0.0338,13.0,11.0,FGADX,0.05433,-0.10405,0.05208,0.13456,0.69518,0.34379,0.43988
5918,0.0165,21.0,4.0,FGAIX,0.01373,-0.00514,0.01656,0.00932,0.01721,0.04297,0.03879
5919,0.0192,2.0,0.0,FGAQX,0.01414,-0.00339,0.01701,0.0105,0.01935,0.04297,0.04263
5928,0.0148,1.0,0.0,FGBKX,0.01852,-0.01205,0.02189,0.00856,0.02857,0.05363,0.06257
5931,-0.0357,8.0,3.0,FGBRX,0.00064,-0.02876,0.00725,-0.00818,0.00071,0.03443,-0.04648
5945,0.1553,11.0,1.0,FGDKX,0.10281,0.02955,0.12673,0.11976,0.31446,0.35862,0.43614
5957,0.0209,3.0,0.0,FGFQX,0.01487,-0.00269,0.01774,0.01124,0.01921,0.04297,0.04562
5960,0.1043,4.0,1.0,FGFWX,0.05139,0.04349,0.08675,0.03901,0.10288,0.11719,0.07331
5961,0.0206,4.0,0.0,FGFZX,0.01561,-0.00277,0.01679,0.01113,0.01996,0.04297,0.04523
5962,0.0298,4.0,3.0,FGGBX,0.01969,0.02746,0.11927,0.03845,0.06088,0.06177,0.01875
5989,0.0231,5.0,2.0,FGKNX,0.02437,-0.00543,0.04048,0.02606,0.07488,0.04842,0.03744
5997,0.0028,3.0,0.0,FGNSX,0.00221,0.0003,0.00177,0.00434,0.00701,0.02277,0.01306
6001,0.0134,2.0,0.0,FGOMX,0.0423,0.03772,0.20287,0.10398,0.19568,0.17903,0.22087
6002,-0.0099,7.0,0.0,FGORX,-0.00201,-0.01017,0.00468,-0.00113,0.00563,0.05647,0.03709
6006,-0.092,4.0,3.0,FGPMX,0.05494,-0.10397,0.05247,0.13471,0.69624,0.34379,0.44154
6009,0.17398,14.0,7.0,FGRAX,0.16013,-0.02427,0.11585,0.12238,0.33265,0.35862,0.45409
6011,0.18883,5.0,3.0,FGREX,0.07845,0.06061,0.07739,0.02884,0.09647,-0.05428,-0.12055
6012,0.20943,28.0,7.0,FGRIX,0.07286,0.11418,0.17255,0.03786,0.15742,0.02911,0.07988
6014,0.0324,10.0,2.0,FGROX,0.03324,0.03409,0.26827,0.09245,0.32235,0.38623,0.38853
6022,0.1474,16.0,2.0,FGSRX,0.09341,0.01869,0.12804,0.11391,0.23784,0.35862,0.30313
6025,0.1175,16.0,8.0,FGTIX,0.06347,0.03764,0.09966,0.06979,0.16256,0.13511,0.14578
6027,0.032,2.0,0.0,FGTMX,0.02902,-0.00012,0.05067,0.03802,0.08242,0.04905,0.02286
6029,0.1158,14.0,4.0,FGTRX,0.06323,0.03661,0.09917,0.06884,0.16202,0.13511,0.14305
6030,0.1191,11.0,4.0,FGTZX,0.06425,0.03793,0.10044,0.07067,0.16367,0.13511,0.14899
6047,0.0403,38.0,13.0,FHAIX,0.02913,0.00698,0.05854,0.04924,0.08793,0.04905,0.06754
6100,0.085,4.0,1.0,FHFWX,0.0428,0.03241,0.06959,0.03082,0.08541,0.11719,0.07735
6109,0.0292,1.0,0.0,FHHIX,0.02234,0.00136,0.05981,0.05012,0.12138,0.04905,0.07127
6115,0.0373,14.0,4.0,FHIRX,0.02761,0.00594,0.06214,0.04145,0.09148,0.04905,0.06238
6117,0.1238,2.0,0.0,FHJCX,0.06806,0.05133,0.15996,0.07819,0.18823,0.15247,0.18087
6132,0.1244,2.0,0.0,FHLCX,0.0679,0.05209,0.15875,0.07897,0.18715,0.15102,0.17946
6145,0.1245,2.0,0.0,FHOCX,0.06718,0.05205,0.15951,0.07787,0.18823,0.14564,0.18009
6152,0.1094,2.0,0.0,FHQCX,0.06283,0.04131,0.14436,0.07317,0.17265,0.14042,0.16915
6156,0.0402,2.0,0.0,FHQRX,0.02924,0.00684,0.05897,0.0434,0.08832,0.04905,0.06146
6157,0.0896,2.0,0.0,FHRCX,0.05402,0.02957,0.11951,0.06175,0.14719,0.12985,0.15372
6161,0.042,4.0,3.0,FHRRX,0.0299,0.00761,0.05956,0.04407,0.08878,0.04905,0.06486
6166,0.0785,2.0,0.0,FHSPX,0.05031,0.02261,0.10682,0.0549,0.13046,0.11841,0.14426
6180,0.0702,2.0,0.0,FHWCX,0.04656,0.01831,0.09493,0.05039,0.11753,0.10795,0.13463
6183,0.058,2.0,0.0,FHXCX,0.04147,0.01064,0.08174,0.0436,0.10296,0.10747,0.12288
6190,0.0466,21.0,4.0,FHYIX,0.03236,0.00487,0.0355,0.02028,0.02908,0.0345,0.05188
6191,0.05,2.0,0.0,FHYQX,0.03308,0.00696,0.03627,0.02172,0.02959,0.0345,0.05594
6194,0.0513,12.0,2.0,FHYVX,0.03358,0.00755,0.03677,0.02228,0.03118,0.0345,0.05841
6204,-0.0362,2.0,1.0,FIBQX,0.00386,-0.03207,0.00169,-0.00547,-0.01444,0.03443,-0.05681
6207,-0.0369,8.0,5.0,FIBZX,0.00353,-0.03346,0.00136,-0.00467,-0.01475,0.03443,-0.05702
6225,0.0739,4.0,1.0,FIDPX,0.02262,0.0332,0.08462,0.05617,0.12985,0.00882,0.06796
6233,0.1168,2.0,1.0,FIFAX,0.04772,0.06136,0.08858,0.0505,0.09749,0.13511,0.05261
6244,0.1513,6.0,1.0,FIFRX,0.09499,0.02012,0.1297,0.11549,0.23949,0.35862,0.31077
6279,0.0293,11.0,1.0,FIJEX,0.02014,0.00343,0.02879,0.02211,0.04277,0.03809,0.03485
6323,0.0046,11.0,1.0,FILDX,0.00348,-0.00087,0.00846,0.00947,0.03308,0.03809,0.04244
6325,0.0611,5.0,2.0,FILRX,0.08278,-0.02775,0.14454,0.0957,0.32882,0.25479,0.33014
6331,0.0161,31.0,4.0,FIMTX,0.01427,-0.00405,0.0161,0.01282,0.02298,0.04507,0.04626
6332,0.0141,10.0,2.0,FIMUX,0.01099,-0.0017,0.00987,0.01307,0.02003,0.04507,0.04078
6333,0.0185,15.0,2.0,FIMYX,0.01486,-0.00253,0.01572,0.01341,0.02458,0.04507,0.04876
6334,0.1312,7.0,5.0,FINAX,0.0331,0.09433,0.22018,0.05732,0.09143,0.10924,-0.10901
6372,0.0043,30.0,3.0,FISAX,0.00099,0.00266,-0.00047,0.00312,0.02424,0.01341,0.01141
6373,0.0642,27.0,6.0,FISCX,0.0446,0.01668,0.169,0.08559,0.33013,0.39914,0.46223
6374,0.1294,7.0,5.0,FISDX,0.03256,0.09309,0.21953,0.05737,0.09047,0.10924,-0.11077
6375,0.1624,24.0,8.0,FISEX,0.0616,0.06989,0.11949,0.06913,0.1419,0.02911,0.05613
6381,0.1174,15.0,3.0,FISRX,0.03603,0.07474,0.11789,0.02391,0.0786,0.08856,0.03257
6393,0.0149,3.0,0.0,FITQX,0.01384,-0.00561,0.01579,0.00779,0.02368,0.04507,0.04471
6399,0.0146,10.0,2.0,FITZX,0.01371,-0.0057,0.01565,0.00764,0.02354,0.04507,0.04411
6421,0.005,2.0,0.0,FIWGX,0.0226,-0.02766,0.01781,0.01561,0.05158,0.08056,0.09994
6463,0.1428,14.0,7.0,FKACX,0.15813,-0.02603,0.11372,0.12033,0.33002,0.35862,0.44292
6466,0.1462,14.0,4.0,FKARX,0.15949,-0.0247,0.11511,0.12172,0.33167,0.35862,0.45009
6468,0.0012,17.0,5.0,FKBAX,0.02514,-0.03261,0.02298,0.01838,0.07302,0.08056,0.07166
6471,0.0126,23.0,5.0,FKCIX,0.0129,-0.00695,0.01304,0.00923,0.02637,0.03667,0.03549
6473,0.1349,40.0,12.0,FKDNX,0.12924,-0.02225,0.15277,0.12406,0.35049,0.35862,0.57678
6474,0.0085,9.0,3.0,FKEMX,0.0552,0.01904,0.17472,0.12736,0.23877,0.17903,0.3266
6475,-0.012,2.0,0.0,FKFSX,-0.00457,-0.00946,0.00385,-0.00199,0.00484,0.05647,0.03381
6477,0.1492,59.0,13.0,FKGRX,0.0941,0.01935,0.12867,0.11463,0.23858,0.35862,0.30636
6481,0.1215,58.0,14.0,FKINX,0.03616,0.07407,0.12142,0.0243,0.07805,0.08856,0.0357
6483,0.1212,2.0,0.0,FKIQX,0.03589,0.0785,0.11623,0.02907,0.07257,0.08856,0.03461
6485,0.0141,23.0,5.0,FKITX,0.01349,-0.00595,0.01543,0.0074,0.02334,0.04507,0.04316
6487,0.0252,29.0,4.0,FKLAX,0.01711,4e-05,0.01794,0.01369,0.00413,0.04297,0.04224
6488,0.0239,5.0,0.0,FKLCX,0.01226,0.01145,0.03767,0.01782,0.08719,0.03443,0.04172
6489,0.03,5.0,0.0,FKLQX,0.01479,0.01406,0.03996,0.02138,0.08889,0.03443,0.05298
6490,0.0266,5.0,0.0,FKLRX,0.01406,0.01233,0.03853,0.01965,0.08761,0.03443,0.04762
6491,0.0282,5.0,0.0,FKLSX,0.01391,0.01316,0.03986,0.01944,0.09004,0.03443,0.04987
6492,0.0301,5.0,0.0,FKLZX,0.01483,0.0141,0.04012,0.02039,0.08995,0.03443,0.05213
6494,0.0135,13.0,4.0,FKNCX,0.01462,-0.00809,0.02129,0.0053,0.00625,0.03481,0.03233
6495,0.0167,23.0,5.0,FKNIX,0.01607,-0.00676,0.02276,0.00758,0.00677,0.03481,0.03898
6496,0.0159,2.0,0.0,FKNQX,0.01656,-0.00797,0.02326,0.00634,0.00726,0.03481,0.03743
6497,0.0168,3.0,0.0,FKNRX,0.01642,-0.00719,0.02396,0.00709,0.00801,0.03481,0.04049
6498,0.0123,2.0,0.0,FKQTX,0.01227,-0.00632,0.01503,0.00784,0.02294,0.04507,0.04239
6499,-0.035,27.0,24.0,FKRCX,0.05383,-0.10474,0.05127,0.13396,0.69487,0.34379,0.43665
6503,0.0214,18.0,3.0,FKSAX,0.02516,-0.00675,0.0402,0.02574,0.07459,0.04842,0.03629
6504,0.1329,12.0,6.0,FKSCX,0.03408,0.09424,0.22103,0.05872,0.09187,0.10924,-0.10552
6505,0.0185,15.0,3.0,FKSRX,0.02401,-0.00801,0.03913,0.02459,0.07363,0.04842,0.03131
6507,0.0113,3.0,0.0,FKTDX,0.01309,-0.0097,0.01569,0.00891,0.022,0.03713,0.05283
6508,0.0222,35.0,8.0,FKTFX,0.02229,-0.00854,0.02427,0.01007,0.03176,0.04587,0.05287
6509,0.0288,32.0,5.0,FKTIX,0.02398,-0.00387,0.02711,0.01075,0.02198,0.05363,0.05635
6510,0.025,3.0,0.0,FKTJX,0.02526,-0.00839,0.02672,0.00538,0.02094,0.04548,0.04785
6511,0.02,3.0,0.0,FKTLX,0.01881,-0.00654,0.01931,0.01103,0.02169,0.04297,0.05104
6512,0.0136,3.0,0.0,FKTMX,0.01844,-0.01137,0.01728,0.00901,0.01779,0.04275,0.0473
6513,0.017,3.0,0.0,FKTNX,0.01292,-0.00372,0.01502,0.01006,0.02119,0.04297,0.05318
6514,0.0141,3.0,0.0,FKTOX,0.01803,-0.01095,0.01395,0.00898,0.02024,0.04837,0.05199
6515,0.023,3.0,0.0,FKTQX,0.02268,-0.00824,0.02463,0.01041,0.03213,0.04587,0.0543
6516,0.0214,3.0,0.0,FKTRX,0.01402,0.00094,0.01603,0.01161,0.00889,0.04297,0.03921
6517,0.0212,4.0,0.0,FKTZX,0.01391,0.00088,0.01595,0.0115,0.00971,0.04297,0.03882
6518,0.0705,1.0,1.0,FKUQX,0.00112,0.03228,0.07552,0.03572,0.0326,0.00894,-0.01998
6519,-0.0114,46.0,4.0,FKUSX,-0.00432,-0.0092,0.00408,-0.00178,0.00345,0.05647,0.03471
6520,0.0715,54.0,18.0,FKUTX,0.00187,0.03255,0.0752,0.03598,0.03284,0.00894,-0.01948
6526,0.1158,5.0,2.0,FLADX,0.06256,0.04012,0.10825,0.07514,0.17271,0.14564,0.15039
6527,0.0215,22.0,3.0,FLAIX,0.0163,-0.00132,0.01625,0.01294,0.00184,0.04297,0.03689
6529,0.026,3.0,0.0,FLAQX,0.01835,0.00039,0.01829,0.01404,0.00357,0.04297,0.04366
6538,0.0106,15.0,1.0,FLDAX,0.00681,0.00303,0.01957,0.01825,0.06085,0.03809,0.0303
6539,0.0073,7.0,1.0,FLDCX,0.0048,0.00207,0.01864,0.01739,0.06049,0.03809,0.02681
6546,0.0082,1.0,0.0,FLDRX,0.00514,0.00245,0.01891,0.0177,0.05931,0.03809,0.02813
6547,0.011,11.0,1.0,FLDZX,0.00636,0.00363,0.02009,0.01982,0.06092,0.03809,0.03351
6548,0.0083,2.0,0.0,FLEIX,0.01199,-0.00857,0.02562,0.01635,0.06634,0.08056,0.03797
6550,0.0965,5.0,2.0,FLERX,0.05557,0.02813,0.08878,0.05938,0.13292,0.12985,0.11797
6571,0.0393,5.0,2.0,FLMTX,0.03533,-0.00113,0.06824,0.02378,0.06483,0.09035,0.08805
6576,0.1116,5.0,2.0,FLOLX,0.06023,0.03888,0.10581,0.07298,0.17004,0.14564,0.14155
6583,0.039,10.0,4.0,FLRDX,0.03523,-0.00126,0.06816,0.02366,0.06475,0.09035,0.08754
6584,0.1178,5.0,2.0,FLREX,0.06277,0.04181,0.10914,0.07542,0.17319,0.14564,0.15354
6585,0.0848,10.0,4.0,FLRFX,0.05115,0.02153,0.07696,0.04941,0.11774,0.11841,0.10514
6586,0.1012,10.0,4.0,FLRGX,0.05735,0.03262,0.09719,0.06565,0.15344,0.14042,0.13233
6587,0.1044,10.0,4.0,FLRHX,0.05822,0.03423,0.09839,0.0671,0.15502,0.14042,0.13747
6588,0.1183,10.0,4.0,FLRIX,0.06352,0.04338,0.1136,0.0775,0.17959,0.15102,0.15002
6589,0.1216,10.0,4.0,FLRJX,0.06483,0.04479,0.11551,0.078,0.18162,0.15102,0.15551
6590,0.1256,10.0,4.0,FLRLX,0.06555,0.04677,0.11633,0.07939,0.18302,0.15102,0.16057
6591,0.0709,5.0,2.0,FLRMX,0.04627,0.01312,0.06512,0.04072,0.10029,0.10795,0.09059
6592,0.0727,5.0,2.0,FLROX,0.04597,0.01437,0.06563,0.04121,0.10161,0.10795,0.09387
6593,0.0669,5.0,2.0,FLRQX,0.04382,0.01162,0.06253,0.03882,0.09898,0.10795,0.08291
6594,0.0117,6.0,1.0,FLRRX,0.00666,0.00392,0.02137,0.01899,0.06102,0.03809,0.03446
6595,0.0948,5.0,2.0,FLRSX,0.05437,0.02763,0.0883,0.05804,0.13272,0.12985,0.11518
6596,0.0898,5.0,2.0,FLRTX,0.05245,0.02602,0.08564,0.05598,0.13057,0.12985,0.10601
6598,0.0698,5.0,2.0,FLRVX,0.04472,0.01277,0.06442,0.04011,0.09962,0.10795,0.08787
6599,0.093,5.0,2.0,FLRWX,0.05453,0.02645,0.08757,0.05746,0.13133,0.12985,0.11169
6601,0.0964,5.0,2.0,FLRZX,0.0548,0.02875,0.08879,0.0585,0.1329,0.12985,0.11677
6603,0.123,4.0,1.0,FLSBX,0.06539,0.04626,0.1165,0.07976,0.18234,0.15468,0.15615
6605,0.1145,5.0,2.0,FLSGX,0.06188,0.04018,0.10726,0.0738,0.17226,0.14564,0.14742
6606,0.1178,5.0,2.0,FLSHX,0.06337,0.04124,0.10843,0.07541,0.17338,0.14564,0.15331
6607,0.1256,5.0,2.0,FLSJX,0.06558,0.04721,0.1179,0.07987,0.18472,0.15247,0.16221
6608,0.1205,5.0,2.0,FLSKX,0.06404,0.0451,0.11534,0.07866,0.1829,0.15247,0.15353
6609,0.1234,5.0,2.0,FLSNX,0.06537,0.04657,0.1171,0.07981,0.1836,0.15247,0.15921
6610,0.1265,5.0,2.0,FLSOX,0.06623,0.04751,0.11929,0.0808,0.18575,0.15247,0.16536
6613,0.127,4.0,1.0,FLSZX,0.06649,0.04751,0.1187,0.08091,0.18381,0.15468,0.16343
6616,0.0081,3.0,0.0,FLTEX,0.00591,-0.00178,0.01077,0.00946,0.02549,0.02277,0.04352
6617,0.1327,4.0,1.0,FLTFX,0.06681,0.04609,0.11802,0.08026,0.18271,0.15468,0.15952
6618,0.1261,4.0,1.0,FLTKX,0.0671,0.0468,0.1176,0.08078,0.18355,0.15468,0.1619
6620,0.1196,4.0,1.0,FLTNX,0.06441,0.04461,0.11528,0.07781,0.18079,0.15468,0.15073
6622,0.0257,4.0,0.0,FLTZX,0.01825,-0.00059,0.01908,0.01394,0.00349,0.04297,0.04419
6635,0.1558,2.0,1.0,FMACX,0.08121,0.04823,0.1231,0.06257,0.23261,0.35862,0.21801
6637,0.0134,8.0,3.0,FMAHX,0.01749,-0.01065,0.01717,0.00891,0.0177,0.04275,0.04602
6638,0.0094,20.0,5.0,FMAIX,0.01647,-0.01293,0.01531,0.00715,0.01586,0.04275,0.03966
6640,0.0119,2.0,0.0,FMAQX,0.0177,-0.01208,0.01652,0.00827,0.01706,0.04275,0.04426
6653,0.2613,4.0,3.0,FMCVX,0.03454,0.23142,0.28043,0.05374,0.16838,0.04017,0.03947
6656,0.0154,22.0,3.0,FMDIX,0.01665,-0.0086,0.01594,0.01085,0.00822,0.04297,0.02915
6657,0.0198,3.0,0.0,FMDQX,0.01877,-0.00703,0.01895,0.01287,0.0092,0.04297,0.03776
6659,0.019,28.0,4.0,FMDTX,0.01843,-0.00739,0.0177,0.01251,0.00976,0.04297,0.03537
6660,0.0196,10.0,1.0,FMDZX,0.01867,-0.00714,0.01794,0.01276,0.00908,0.04297,0.03637
6667,0.1335,4.0,3.0,FMEUX,0.04472,0.07961,0.17192,0.00768,0.17745,0.0798,-0.06103
6676,0.1674,5.0,2.0,FMFVX,0.02019,0.15407,0.27592,0.01267,0.15059,-0.01149,-0.06573
6680,0.115,5.0,2.0,FMGGX,0.10116,0.00365,0.17845,0.12982,0.41531,0.39262,0.56575
